i,x,y,theta
92,6.25124282867867,2.5000011157843,5.1704018523187E-06
93,6.25388893501664,2.50000112484716,5.19202785942663E-06
94,6.25653497752912,2.50000113404285,5.21173004562589E-06
95,6.25918108426713,2.50000114310288,5.23354871788542E-06
96,6.26182712717056,2.50000115229532,5.25344542794035E-06
97,6.26428074127364,2.50000116069835,5.16858946093798E-06
98,6.26673428207115,2.50000116895418,5.13498101572648E-06
99,6.2691877231945,2.50000117717321,5.12379895971222E-06
100,6.27164121834626,2.50000118515957,5.12745200662886E-06
101,6.27409465036221,2.50000119320519,5.13610818759479E-06
102,6.27654815095709,2.50000120108782,5.15074129471841E-06
103,6.27900159247042,2.50000120906882,5.16557743010478E-06
104,6.28145510213875,2.50000121691026,5.18371876139195E-06
105,6.28390855082157,2.50000122486442,5.20057095055818E-06
106,6.28636206561771,2.50000123268631,5.21989199705304E-06
107,6.28881551775055,2.50000124062564,5.23746521681699E-06
108,6.29126903478721,2.50000124843464,5.25725359879388E-06
109,6.29372248836007,2.50000125636232,5.27516096771985E-06
110,6.29617600634402,2.50000126415992,5.29521060620241E-06
111,6.29862946057962,2.50000127207627,5.31334472689293E-06
112,6.301082979074,2.50000127986227,5.33360173725436E-06
113,6.30353643374552,2.50000128776674,5.35193718451097E-06
114,6.30598995264465,2.50000129554048,5.37239116504731E-06
115,6.30844340771175,2.50000130343232,5.3909253873907E-06
116,6.31070443397827,2.50000131059014,5.30453963299686E-06
117,6.31296538693894,2.50000131760642,5.26940043954246E-06
118,6.31522624022758,2.50000132458534,5.25668986620849E-06
119,6.31748714754629,2.50000133134521,5.25881671910112E-06
120,6.3197479917314,2.50000133815539,5.26594658767186E-06
121,6.32200890449703,2.50000134481097,5.27905547539266E-06
122,6.32426975818319,2.50000135155286,5.29236667699065E-06
123,6.32653068002576,2.50000135816175,5.30898485533221E-06
124,6.32879154088472,2.50000136487026,5.32431303700055E-06
125,6.33105246785829,2.50000137145248,5.34211167653561E-06
126,6.33331333217031,2.50000137813874,5.35816155953326E-06
127,6.33557426138733,2.50000138470052,5.37642808978932E-06
128,6.33783512714221,2.50000139136754,5.39281257514592E-06
129,6.34009605730926,2.50000139791033,5.41134071248752E-06
130,6.34235692372952,2.50000140455844,5.42795216993941E-06
131,6.34461785440955,2.50000141108212,5.44668779510983E-06
132,6.34687872126819,2.50000141771088,5.46350055104554E-06
133,6.34913965235532,2.50000142421487,5.48243301185938E-06
134,6.35140051961179,2.50000143082364,5.49944425956722E-06
135,6.35366145109764,2.50000143730731,5.51857479636701E-06
136,6.3559223187575,2.50000144389544,5.53578792982266E-06
137,6.35818325065219,2.50000145035811,5.55512104025279E-06
138,6.36044411872584,2.50000145692496,5.57254122326651E-06
139,6.36251255800504,2.50000146282407,5.48481055251358E-06
140,6.36458092398314,2.50000146858767,5.44832505698524E-06
141,6.36664919029689,2.50000147431379,5.43427268194373E-06
142,6.36871751064661,2.50000147983479,5.43505921380251E-06
143,6.37078576786832,2.5000014853976,5.44085224851742E-06
144,6.37285409367484,2.50000149081456,5.45262677194112E-06
145,6.37492236040626,2.50000149630617,5.46460720166972E-06
146,6.37699069529758,2.5000015016717,5.47989718958871E-06
147,6.37905896920911,2.50000150712412,5.49390100149991E-06
148,6.38112730923841,2.5000015124566,5.51037784718896E-06
149,6.38319558660977,2.50000151788011,5.52510990100482E-06
150,6.38526392888915,2.50000152318533,5.54206116016815E-06
151,6.38733220770989,2.50000152858272,5.55713439546348E-06
152,6.38940055094574,2.50000153386207,5.57435381185888E-06
153,6.39146883043823,2.50000153923369,5.58966057663646E-06
154,6.39353717419336,2.50000154448711,5.60709400154908E-06
155,6.39560545413045,2.5000015498326,5.62260857551038E-06
156,6.39767379829883,2.5000015550596,5.64024530879324E-06
157,6.39974207863983,2.50000156037841,5.65596483574866E-06
158,6.40181042321295,2.50000156557843,5.6738060704889E-06
159,6.40387870396327,2.50000157086999,5.68973390046657E-06
160,6.40594704895108,2.50000157604248,5.70778409300275E-06
161,6.40801533012099,2.50000158130625,5.72392535198356E-06
162,6.40989118249622,2.50000158597878,5.63466706037554E-06
163,6.41176696157004,2.50000159052288,5.59665186638803E-06
164,6.41364264098213,2.5000015950304,5.58107287442369E-06
165,6.41551837443233,2.50000159934781,5.58033499174978E-06
166,6.41739404475721,2.50000160369952,5.5846039097107E-06
167,6.41926978366896,2.50000160791518,5.59485657413014E-06
168,6.42114546350813,2.50000161219485,5.60531484536752E-06
169,6.42302121150909,2.50000161635638,5.61908463851945E-06
170,6.4248968985326,2.50000162059312,5.63156788065724E-06
171,6.42677265167564,2.50000162471727,5.64652593659024E-06
172,6.42864834216295,2.50000162892046,5.65973880089918E-06
173,6.43052409755992,2.5000016330126,5.67517253881202E-06
174,6.43239978950038,2.50000163718485,5.68872777978817E-06
175,6.43427554585749,2.50000164124629,5.70443077310618E-06
176,6.43615123847326,2.50000164538796,5.71822052706608E-06
177,6.43802699535312,2.50000164941868,5.73413841322112E-06
178,6.43990268841687,2.50000165352948,5.74813672746185E-06
179,6.44177844571327,2.5000016575291,5.76425857201405E-06
180,6.44365413918413,2.50000166160857,5.77846235090248E-06
181,6.44552989688836,2.5000016655766,5.79478910724299E-06
182,6.44740559077153,2.50000166962427,5.8092014600361E-06
