i,x,y,theta
93,6.70828989162048,2.5000461151051,2.58089322816503E-05
94,6.71210428556662,2.50004621484927,2.51884012812624E-05
95,6.71583980559997,2.50004631017782,2.45850476074364E-05
96,6.71949808266988,2.50004640129445,2.39984306791441E-05
97,6.72308071400122,2.50004648839339,2.34281206926753E-05
98,6.72658926379167,2.50004657165985,2.2873698368165E-05
99,6.73002526389474,2.50004665127043,2.23347547016348E-05
100,6.73339021448846,2.50004672739356,2.18108907222589E-05
101,6.73668558473042,2.5000468001898,2.13017172550049E-05
102,6.73991281339918,2.50004686981228,2.08068546886681E-05
103,6.74307330952243,2.50004693640698,2.03259327489942E-05
104,6.74616845299218,2.50004700011312,1.98585902769407E-05
105,6.7491995951672,2.50004706106343,1.94044750120752E-05
106,6.75216805946304,2.50004711938446,1.89632433808341E-05
107,6.75507514192982,2.50004717519687,1.8534560289568E-05
108,6.75792211181807,2.50004722861569,1.81180989225253E-05
109,6.76071021213291,2.50004727975063,1.77135405444183E-05
110,6.76344066017675,2.50004732870625,1.73205743074968E-05
111,6.7661146480807,2.50004737558225,1.6938897063144E-05
112,6.76873334332516,2.5000474204737,1.65682131778196E-05
113,6.77129788924943,2.50004746347122,1.62082343532597E-05
114,6.77380940555098,2.50004750466121,1.58586794508827E-05
115,6.77626898877427,2.50004754412605,1.55192743203088E-05
116,6.7786777127895,2.50004758194427,1.51897516318728E-05
117,6.78103662926147,2.50004761819074,1.48698507129887E-05
118,6.78334676810877,2.50004765293684,1.45593173883428E-05
119,6.78560913795336,2.50004768625062,1.42579038238269E-05
120,6.78782472656106,2.50004771819696,1.39653683741632E-05
121,6.78999450127267,2.50004774883771,1.368147543399E-05
122,6.79211940942645,2.50004777823183,1.34059952925548E-05
123,6.79420037877162,2.50004780643553,1.31387039918208E-05
124,6.79623831787348,2.50004783350242,1.28793831877088E-05
125,6.79823411651008,2.50004785948359,1.26278200147451E-05
126,6.80018864606069,2.50004788442775,1.23838069538864E-05
127,6.80210275988624,2.50004790838134,1.21471417033762E-05
128,6.80397729370194,2.50004793138863,1.19176270527509E-05
129,6.8058130659421,2.50004795349184,1.1695070759643E-05
