t,acc,vel,brute
7027,0.4,0.1,2070
5791,0.4,0.2,80.17
4889,0.5,0.2,1.0
4317,0.6,0.2,1.1
3871,0.6,0.3,0
3447,0.7,0.3,0
3114,0.8,0.3,0
2880,0.9,0.3,0
2645,0.9,0.4,0
2449,1.0,0.4,0
2326,1.0,0.5,0
2245,1.0,0.6,0
2188,1.0,0.7,0
2143,1.0,0.8,0
2114,1.0,0.9,0
2088,1.0,1.0,0
2070,1.0,1.1,0
