rosbagTimestamp,position,x,y,z,orientation,x,y,z,w
1733942926512448553,,6.183963024459361,2.537643524057114,0.0,,0.0,0.0,-0.00579277334062317,0.9999832217477572
1733942926612666899,,6.217536039528006,2.5372257129776252,0.0,,0.0,0.0,-0.007869657561365635,0.9999690337654796
1733942926701866690,,6.251334198282114,2.5366680459496123,0.0,,0.0,0.0,-0.010289486732831478,0.9999470618301626
1733942926801909633,,6.285637691547743,2.5359310505429438,0.0,,0.0,0.0,-0.013205040730005585,0.9999128096485808
1733942926901937020,,6.320643056777342,2.5349819149831365,0.0,,0.0,0.0,-0.016229537455732544,0.9998682923835384
1733942926991767726,,6.356781438696663,2.5337665477732982,0.0,,0.0,0.0,-0.019798097890744843,0.9998039984516508
1733942927091837593,,6.392039657106138,2.535805248666366,0.0,,0.0,0.0,-0.023418457683281078,0.9997257503134229
1733942927191765804,,6.430996803245269,2.533900442861955,0.0,,0.0,0.0,-0.028359780919056367,0.9995977805228576
1733942927312414113,,6.470205368047781,2.531615185743053,0.0,,0.0,0.0,-0.033228731745954955,0.9994477732160673
1733942927402587117,,6.509127100897818,2.528972853609812,0.0,,0.0,0.0,-0.03741952644214929,0.9992996442713493
1733942927502170576,,6.547877319597786,2.5260336327909685,0.0,,0.0,0.0,-0.04071721266885014,0.9991707104356491
1733942927602155518,,6.58649042635605,2.5228761597573137,0.0,,0.0,0.0,-0.04219830168436333,0.9991092549541093
1733942927702140876,,6.618827583539264,2.527404909024299,0.0,,0.0,0.0,-0.04551153879825065,0.9989638130764374
1733942927791899457,,6.657267936110854,2.523934204954919,0.0,,0.0,0.0,-0.04326967845758466,0.9990634288803576
1733942927891758166,,6.695669092056633,2.52065514596829,0.0,,0.0,0.0,-0.03936544897670039,0.999224880308163
1733942927991821075,,6.733109781105488,2.5177640292070054,0.0,,0.0,0.0,-0.03506255829246531,0.9993851194639569
1733942928112188167,,6.767970680653755,2.515335399450168,0.0,,0.0,0.0,-0.031931041204160134,0.9994900742916951
1733942928202143048,,6.781949338100581,2.5243781396357066,0.0,,0.0,0.0,-0.0315411810415086,0.9995024531728307
1733942928302328497,,6.807335038900778,2.5228085113769243,0.0,,0.0,0.0,-0.0274842327856257,0.9996222371216966
1733942928402093834,,6.82759859889341,2.5216953769837938,0.0,,0.0,0.0,-0.02488657925796514,0.9996902811235273
1733942928491763909,,6.842202114392108,2.5209778837923382,0.0,,0.0,0.0,-0.022422657266228226,0.9997485806147071
1733942928591802288,,6.853308305973691,2.520478930992012,0.0,,0.0,0.0,-0.021372230326946826,0.9997715877993593
1733942928691815852,,6.8624970072449605,2.520089666371709,0.0,,0.0,0.0,-0.019972827187047733,0.9998005231915796
1733942928812568097,,6.870148698258179,2.5197900539769185,0.0,,0.0,0.0,-0.016924198979347837,0.9998567754878233
1733942928912361031,,6.875768111857335,2.51961161773438,0.0,,0.0,0.0,-0.010668182942490577,0.9999430933171676
1733942929002037403,,6.879414585427368,2.5195388972732706,0.0,,0.0,0.0,-0.005178611877540477,0.999986590899609
