i,x,y,theta
92,6.32967886651761,2.50001936981101,9.57412922686718E-05
93,6.33376999120992,2.50001976041129,9.62539955686335E-05
94,6.33786111590151,2.50002015312871,9.67574879778992E-05
95,6.34195224059242,2.50002054792522,9.72519452043952E-05
96,6.34604336528264,2.50002094476348,9.77375396042289E-05
97,6.35013448997219,2.50002134360687,9.82144402456221E-05
98,6.35422561466109,2.50002174441947,9.86828129716331E-05
99,6.35831673934934,2.50002214716605,9.91428204616769E-05
100,6.36240786403695,2.50002255181205,9.95946222918824E-05
101,6.36649898872394,2.50002295832355,0.000100038374994
102,6.37059011341031,2.50002336666731,0.000100474232115
103,6.37468123809609,2.50002377681071,0.000100902344271
104,6.37877236278126,2.50002418872173,0.000101322859205
105,6.38286348746586,2.500024602369,0.000101735921844
106,6.38694915133047,2.50002501715984,0.000101850730747
107,6.39101084326726,2.50002542997998,0.000101452896522
108,6.39503188397346,2.50002583806871,0.000100753561589
109,6.39901324323844,2.50002624023048,9.99624764125858E-05
110,6.40296338669705,2.50002663656094,9.91790447691089E-05
111,6.40688578638555,2.50002702715856,9.8422028916837E-05
112,6.41077813128784,2.50002741180286,9.7680446391138E-05
113,6.41463797567003,2.50002779033557,9.69439164997543E-05
114,6.41846562548895,2.50002816286758,9.62101486320764E-05
115,6.42226268053913,2.50002852962249,9.54810050147023E-05
116,6.42602997857304,2.50002889074491,9.47579599910173E-05
117,6.42976738201152,2.50002924628664,9.40410273004606E-05
118,6.43347468063068,2.50002959629358,9.33297774254518E-05
119,6.43715210018028,2.50002994085211,9.26241183467452E-05
120,6.44080009309924,2.50003028006819,9.19242008402403E-05
121,6.44441899878585,2.50003061403581,9.12300775284672E-05
122,6.44800899350577,2.50003094283278,9.05416379630845E-05
123,6.45157023306778,2.50003126653395,8.98587544246235E-05
124,6.45510294117459,2.50003158521911,8.9181375850043E-05
125,6.4586073798692,2.50003189897032,8.85094955002429E-05
126,6.46208379350759,2.50003220786693,8.78430893443251E-05
127,6.46553239804894,2.50003251198472,8.71821040038713E-05
128,6.46895340346126,2.50003281139788,8.65264814968571E-05
129,6.47234702896177,2.5000331061804,8.58761763505918E-05
130,6.47571349898325,2.50003339640565,8.52311513178919E-05
131,6.47905303398756,2.50003368214569,8.45913671509591E-05
132,6.48236584832226,2.50003396347101,8.39567800828935E-05
133,6.48565215373023,2.50003424045097,8.33273456496232E-05
134,6.48891216197371,2.50003451315391,8.27030216183951E-05
135,6.49214608431996,2.50003478164724,8.20837674434975E-05
136,6.49535413005183,2.50003504599722,8.14695426008354E-05
137,6.49853650606431,2.50003530626904,8.08603061044993E-05
138,6.50169341742021,2.50003556252682,8.02560170957779E-05
139,6.50482506780837,2.50003581483369,7.96566353387296E-05
140,6.50793165949293,2.50003606325179,7.90621211535757E-05
141,6.51101339308191,2.50003630784227,7.84724351438486E-05
142,6.5140704674617,2.5000365486653,7.7887538103867E-05
143,6.51710307989341,2.50003678578009,7.73073911068307E-05
144,6.52011142610101,2.50003701924491,7.67319555865558E-05
145,6.52309570027724,2.50003724911712,7.61611933287216E-05
146,6.52605609505655,2.50003747545316,7.55950664246443E-05
147,6.52899280151306,2.50003769830856,7.50335372522547E-05
148,6.53190600918564,2.500037917738,7.44765684872744E-05
149,6.53479590610289,2.50003813379526,7.39241231149254E-05
150,6.53766267879471,2.50003834653328,7.33761644272152E-05
151,6.54050651229803,2.50003855600416,7.28326560135853E-05
152,6.54332759016612,2.50003876225917,7.22935617553851E-05
153,6.5461260944823,2.50003896534878,7.1758845825447E-05
154,6.54890220587392,2.50003916532263,7.12284726882323E-05
155,6.55165610352395,2.5000393622296,7.07024070975893E-05
156,6.55438796518159,2.50003955611778,7.01806140931904E-05
157,6.55709796717322,2.50003974703451,6.96630589976225E-05
158,6.55978628441411,2.50003993502635,6.91497074145051E-05
159,6.56245309042004,2.50004012013916,6.86405252266337E-05
160,6.56509855731853,2.50004030241805,6.81354785937221E-05
161,6.56772285585979,2.50004048190742,6.76345339499163E-05
162,6.57032615542763,2.50004065865096,6.71376580014561E-05
163,6.57290862405049,2.50004083269167,6.66448177246203E-05
164,6.57547042841227,2.50004100407187,6.6155980363599E-05
165,6.57801173386318,2.50004117283322,6.56711134282121E-05
166,6.58053270443031,2.50004133901671,6.51901846918598E-05
167,6.58303350282824,2.50004150266266,6.47131621893019E-05
168,6.58551429046956,2.50004166381079,6.42400142145909E-05
169,6.58797522747526,2.50004182250016,6.37707093189133E-05
170,6.5904164726851,2.50004197876923,6.33052163084689E-05
171,6.59283818366783,2.50004213265583,6.28435042426264E-05
172,6.5952405167314,2.50004228419722,6.23855424316599E-05
173,6.597623626933,2.50004243343004,6.19313004346525E-05
174,6.5999876680891,2.50004258039037,6.14807480576786E-05
175,6.60233279278537,2.50004272511372,6.10338553518026E-05
176,6.60465915238653,2.50004286763501,6.05905926109879E-05
177,6.60696689704611,2.50004300798864,6.01509303700996E-05
178,6.60925617571616,2.50004314620844,5.97148394030807E-05
179,6.61152713615685,2.50004328232774,5.92822907209216E-05
180,6.61377992494601,2.50004341637929,5.88532555697005E-05
181,6.61601468748859,2.50004354839537,5.84277054288074E-05
182,6.61823156802606,2.50004367840773,5.80056120090014E-05
183,6.62043070964568,2.5000438064476,5.75869472504834E-05
184,6.62261225428978,2.50004393254576,5.71716833210688E-05
185,6.62477634276491,2.50004405673245,5.67597926143288E-05
186,6.6269231147509,2.50004417903748,5.63512477477789E-05
187,6.62905270880993,2.50004429949015,5.59460215610581E-05
188,6.6311652623954,2.50004441811933,5.55440871141692E-05
189,6.63326091186088,2.5000445349534,5.51454176857252E-05
190,6.63533979246885,2.50004465002032,5.47499867710203E-05
191,6.63740203839947,2.5000447633476,5.43577680802534E-05
192,6.6394477827592,2.5000448749623,5.39687355369566E-05
193,6.64147715758945,2.50004498489107,5.35828632763374E-05
194,6.64349029387504,2.50004509316014,5.32001256434193E-05
195,6.6454873215527,2.5000451997953,5.28204971912944E-05
196,6.64746836951942,2.50004530482197,5.24439526794268E-05
197,6.64943356564082,2.50004540826515,5.20704670720279E-05
198,6.65138303675934,2.50004551014943,5.17000155365005E-05
199,6.65331690870248,2.50004561049904,5.13325734417101E-05
200,6.65523530629089,2.5000457093378,5.09681163563425E-05
201,6.65713835334644,2.50004580668919,5.06066200472929E-05
202,6.65902617270021,2.50004590257628,5.02480604780314E-05
203,6.66089888620041,2.5000459970218,4.98924138070071E-05
204,6.66275661472027,2.50004609004811,4.95396563861038E-05
205,6.6645994781658,2.50004618167723,4.91897647590967E-05
206,6.66642759548357,2.50004627193081,4.88427156600374E-05
207,6.66824108466836,2.5000463608302,4.84984860117737E-05
208,6.67004006277079,2.50004644839636,4.8157052924433E-05
209,6.67182464590486,2.50004653464995,4.78183936937262E-05
210,6.67359494925548,2.50004661961132,4.74824857995974E-05
211,6.67535108708586,2.50004670330046,4.71493069047164E-05
212,6.6770931727449,2.50004678573707,4.68188348530109E-05
213,6.67882131867452,2.50004686694053,4.64910476681871E-05
214,6.68053563641693,2.50004694692993,4.61659235521755E-05
215,6.68223623662176,2.50004702572403,4.58434408838157E-05
216,6.68392322905329,2.50004710334133,4.55235782173703E-05
217,6.68559672259747,2.50004717980002,4.52063142810302E-05
218,6.687256825269,2.50004725511799,4.48916279756402E-05
219,6.68890364421823,2.50004732931287,4.45794983732975E-05
220,6.69053728573817,2.50004740240201,4.42699047158719E-05
221,6.69215785527127,2.50004747440247,4.39628264136122E-05
222,6.69376545741625,2.50004754533107,4.36582430437821E-05
223,6.69536019593488,2.50004761520434,4.33561343494207E-05
224,6.69694217375865,2.50004768403856,4.30564802379462E-05
225,6.69851149299541,2.50004775184975,4.27592607798242E-05
226,6.70006825493596,2.50004781865368,4.24644562072352E-05
227,6.70161256006063,2.50004788446588,4.21720469126793E-05
228,6.70314450804569,2.50004794930163,4.1882013447716E-05
229,6.70466419776986,2.50004801317596,4.15943365217804E-05
230,6.70617172732063,2.50004807610367,4.13089970008986E-05
231,6.70766719400065,2.50004813809934,4.10259759062948E-05
232,6.70915069433396,2.50004819917731,4.07452544131682E-05
233,6.71062232407223,2.50004825935169,4.04668138494918E-05
234,6.71208217820097,2.50004831863637,4.01906356947963E-05
235,6.71353035094562,2.50004837704503,3.9916701578823E-05
236,6.71496693577767,2.50004843459114,3.9644993280331E-05
237,6.71639202542066,2.50004849128793,3.93754927260481E-05
238,6.7178057118562,2.50004854714846,3.9108181989354E-05
239,6.71920808632986,2.50004860218556,3.88430432891E-05
240,6.7205992393571,2.50004865641186,3.85800589883792E-05
241,6.72197926072911,2.50004870983981,3.83192115933707E-05
242,6.72334823951857,2.50004876248164,3.80604837522626E-05
243,6.72470626408544,2.50004881434941,3.78038582540167E-05
244,6.72605342208264,2.50004886545497,3.75493180272261E-05
245,6.7273898004617,2.50004891581,3.72968461391276E-05
246,6.72871548547843,2.50004896542599,3.7046425794342E-05
247,6.73003056269838,2.50004901431427,3.67980403336639E-05
248,6.73133511700248,2.50004906248595,3.65516732331423E-05
249,6.73262923259243,2.50004910995201,3.63073081030315E-05
250,6.73391299299619,2.50004915672322,3.60649286865439E-05
251,6.73518648107334,2.50004920281022,3.58245188586778E-05
252,6.73644977902044,2.50004924822345,3.55860626253523E-05
253,6.73770296837635,2.50004929297321,3.53495441223598E-05
254,6.73894613002744,2.50004933706962,3.51149476142193E-05
255,6.74017934421288,2.50004938052266,3.48822574931006E-05
256,6.74140269052977,2.50004942334214,3.46514582778401E-05
257,6.74261624793832,2.50004946553772,3.44225346129173E-05
258,6.74382009476688,2.50004950711891,3.41954712673971E-05
259,6.74501430871706,2.50004954809507,3.39702531339775E-05
260,6.74619896686873,2.50004958847542,3.3746865228003E-05
261,6.74737414568497,2.50004962826904,3.35252926864137E-05
262,6.74853992101702,2.50004966748484,3.33055207667258E-05
263,6.74969636810919,2.50004970613162,3.30875348461351E-05
264,6.7508435616037,2.50004974421804,3.28713204205505E-05
265,6.7519815755455,2.5000497817526,3.26568631035071E-05
266,6.75311048338705,2.50004981874371,3.24441486253174E-05
267,6.75423035799306,2.5000498551996,3.22331628321167E-05
268,6.7553412716452,2.5000498911284,3.20238916849095E-05
269,6.75644329604676,2.50004992653812,3.18163212587005E-05
270,6.75753650232729,2.50004996143663,3.16104377414468E-05
271,6.75862096104714,2.50004999583167,3.14062274331706E-05
272,6.7596967422021,2.50005002973089,3.12036767450827E-05
273,6.76076391522785,2.50005006314178,3.1002772198744E-05
274,6.76182254900446,2.50005009607175,3.08035004250731E-05
275,6.76287271186085,2.50005012852807,3.0605848163514E-05
276,6.76391447157918,2.50005016051791,3.04098022611797E-05
277,6.76494789539923,2.50005019204832,3.02153496718604E-05
278,6.76597305002277,2.50005022312625,3.00224774552625E-05
279,6.7669900016178,2.50005025375854,2.98311727761134E-05
